Concatenar;Id Conocimiento;Torre;Nombre Componente;Tipo de evento;Descripción Error;Solución;Tipo Documento;Fecha creación;Responsable Torre;Estado;Fecha aprobación;Responsable de Aprobación;Fecha última actualización;Ticket relacionado;# KDB Service Now;OBSERVACIÓN;Automatización;Documento
PRECWDB013Bloqueo de sesiones;PSKB0011;BDD;PRECWDB013;Bloqueo de sesiones;Bloqueo de sesiones;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el servidor afectado (columa C Nombre Componente)
3. Conectar por la opcion rdp (cyberak)
4. Validar que no haya bloqueos de SQL, mediante el siguiente query:                                                                                                                                                                                                                                                                                                                              SET NOCOUNT ON 
GO
SELECT 
      HOSTNAME
      , SPID
      , loginame
      , BLOCKED
      , REPLACE (REPLACE (T.TEXT, CHAR(10), ' '), CHAR (13), ' ' ) AS BATCH 
INTO #T 
FROM sys.sysprocesses R 
      CROSS APPLY sys.dm_exec_sql_text(R.SQL_HANDLE) T 
GO
                                                                                                                                                                                                                                         
Reportar a BDD en caso que el bloqueo supere los 15 minutos ya que las alertas son autorecuperadas.";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;David Medina;;INC0140817;KB0058023;Registrado en ServiceNow;;
ECBPPRQ48BLOQUEO DE SESIONES;PSKB0012;BDD;ECBPPRQ48;Bloqueo de sesiones;BLOQUEO DE SESIONES;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el servidor afectado .(columa C Nombre Componente)
3.Conectar por la opcion rdp (cyberak)
4. Validar que no haya bloqueos de SQL, para ello, mediante un IDE nos conectamos a la base de datos MANAGER STUDIO SQL ejecutando el siguiente query:                                                                                                                                                                                                                                                                                                                              SET NOCOUNT ON 
GO
SELECT 
      HOSTNAME
      , SPID
      , loginame
      , BLOCKED
      , REPLACE (REPLACE (T.TEXT, CHAR(10), ' '), CHAR (13), ' ' ) AS BATCH 
INTO #T 
FROM sys.sysprocesses R 
      CROSS APPLY sys.dm_exec_sql_text(R.SQL_HANDLE) T 
GO                                                                                                                                                                                                                        
nota Reportar a base de datos en caso de que el bloqueo supere los 15 minutos ya que las alertas son autorecupeoradas";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0175472;KB0058024;Registrado en ServiceNow;;
ECBPPRQ122Bloqueo de sesiones;PSKB0013;BDD;ECBPPRQ122;Bloqueo de sesiones;Bloqueo de sesiones;" 1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3. Conectar por la opcion rdp (cyberak)
4. Validar que no haya bloqueos de SQL, ejecutando el siguiente query:                                                                                                                                                                                                                                                                                                                              SET NOCOUNT ON 
GO
SELECT 
      HOSTNAME
      , SPID
      , loginame
      , BLOCKED
      , REPLACE (REPLACE (T.TEXT, CHAR(10), ' '), CHAR (13), ' ' ) AS BATCH 
INTO #T 
FROM sys.sysprocesses R 
      CROSS APPLY sys.dm_exec_sql_text(R.SQL_HANDLE) T 
GO
                                                                                                                                                                                                                                         
Nota:Reportar a base de datos en caso de que el bloqueo supere los 5 minutos ya que las alertas son autorecupeoradas";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0170652;KB0058025;Registrado en ServiceNow;;
"ecbpprcl51
ecuio242q02
ecbpprq131
ecbpprq100
ecbpprcl50
ecbpprq50
ecbpprq122
ecbpprq145
ecbpprcl45
ecuio012f04
ecbpprq102
ecbpprwe15
ecbpprq59
precwdb029
ecbpprap18
ecbpprsi94
ecuio012q42
ecbpprq117
precwsa012
ecbpprap06
ecbpprq51
precwfs006
ecbpprd01
precwdb015
drecwcl009
precwdb002
precwfs003
ecbpprq93
precwap003
precwft001
ecbpprap17
precwft003
ecbpprq82
ecbpprq84
ecbpprcl51
ecbpprq121
ecbpprw247
ecbpprq116
ecbpprrs07
ecbpprw114
precwti007
precwap006
drecbpprcl45
ecuio012f05
drecbpprcl27
ecuio012q26
ecbpprq139
precwdb019
ecbpprq133
ecbpprq65
ecbpprw119
drecbpprq84
drecwcl017
precwti005
ecuio012q21Slow Disk SQL";PSKB0014;BDD;"ecbpprcl51
ecuio242q02
ecbpprq131
ecbpprq100
ecbpprcl50
ecbpprq50
ecbpprq122
ecbpprq145
ecbpprcl45
ecuio012f04
ecbpprq102
ecbpprwe15
ecbpprq59
precwdb029
ecbpprap18
ecbpprsi94
ecuio012q42
ecbpprq117
precwsa012
ecbpprap06
ecbpprq51
precwfs006
ecbpprd01
precwdb015
drecwcl009
precwdb002
precwfs003
ecbpprq93
precwap003
precwft001
ecbpprap17
precwft003
ecbpprq82
ecbpprq84
ecbpprcl51
ecbpprq121
ecbpprw247
ecbpprq116
ecbpprrs07
ecbpprw114
precwti007
precwap006
drecbpprcl45
ecuio012f05
drecbpprcl27
ecuio012q26
ecbpprq139
precwdb019
ecbpprq133
ecbpprq65
ecbpprw119
drecbpprq84
drecwcl017
precwti005
ecuio012q21";Slow Disk SQL;Slow Disk SQL;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3.  Conectar por la opcion rdp (cyberak)
4. Validar que no se presente error de I/O en el error log ejecutando lo siguiente:                                                                                                                                                                               
SET NOCOUNT ON     
DECLARE @fechaini DATETIME, @fechafin DATETIME;
CREATE TABLE #temperrorlog ([ErrorLogDate] DATETIME, [ProcessInfo] VARCHAR(50),[Text] NVARCHAR(4000)); 
SELECT @fechaini = DATEADD(mi,-120,GETDATE()); 

SELECT @fechafin = GETDATE();
INSERT INTO #temperrorlog (ErrorLogDate, ProcessInfo , TEXT) 
EXEC xp_readerrorlog 0,1,N'',N'',@fechaini,@fechafin;
DELETE FROM #temperrorlog WHERE [ProcessInfo] LIKE '%Logon%'
SELECT *
FROM #temperrorlog 
WHERE [Text] LIKE '%error%' OR [Text] LIKE '%Suspect%' OR [Text] LIKE '%Recovery%'
DROP TABLE #temperrorlog
GO

5. 
6 - Identificar procesos de ejecución de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecución con el siguiente query

EXEC sp_who2 active
EXEC sp_who3
NOTA: crerrar el evento como controlado En caso que la alerta se presente por más de 15 min reportar a BDD.Al tratarse de una arquitectura de Failover Cluster, esta se compone de 2 nodos ECBPPRCL50 y ECBPPRCL51 con 2 instancias: ECBPPRQ75\Q75 y ECBPPRQ29\Q29. Cada nodo aloja una instancia. Las alertas que se presentan en Dynatrace por Slow Disk muestran el nombre del servidor (nodo), más no el de la instancia. Por lo tanto, es importante revisar el disco que está alertado, esto nos ayudará a determinar en qué instancia debemos conectarnos para validar los procesos en ejecución. Ej. R:\Disk_18_Sql_Temp_Q75\ pertenece a la instancia Q75; J:\Disk_6_Sql_Data_Q29\ pertenece a la instancia Q29.""
";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0056846;KB0058026;Registrado en ServiceNow;;
"ECBPPRQ53
ecbpprcl12
precwfs003
ecbpprrs07
ecbptsw157
ecbpprts2
ecbpprap06
ecbpprsi85
ecbptsw108
ecbpprcl7
ecbpprcl6
ecbpprq109
ecbpprw119Memory Saturation";PSKB0015;BDD;"ECBPPRQ53
ecbpprcl12
precwfs003
ecbpprrs07
ecbptsw157
ecbpprts2
ecbpprap06
ecbpprsi85
ecbptsw108
ecbpprcl7
ecbpprcl6
ecbpprq109
ecbpprw119";Memory Saturation;Memory Saturation;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3. Conectar por la opcion rdp (cyberak)
4. Si existe usuarios desconectados, validar con Wintel que cierren esas sessione, en caso de no poder y se libera espacio 
5.  Identificar procesos de ejecución de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecución con el siguiente query

EXEC sp_who2 active
EXEC sp_who3
Nota: Cerrar como controlado en caso que el bloqueo supere los 15 minutos reportar a bdd 
";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0175563;KB0058027;Registrado en ServiceNow;;
ecbpprq133CPU Saturation;PSKB0016;BDD;ecbpprq133;CPU Saturation;CPU Saturation;"1.Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3 Conectar por la opcion rdp (cyberak)
4.Identificar procesos en ejecución de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecución con el siguiente query
EXEC sp_who2 active
EXEC sp_who3
5. Si el proceso es por ejecución de backups o reindexaciones  cerrar como evento controlado.
6. Si es por compactaciones, reportar a BDD.
Nota. cerrar el evento como controlado en caso que dure mas de 15 min notificar a bdd ";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0104046;KB0058028;Registrado en ServiceNow;;
TSECXDB005CPU Saturation;PSKB0017;BDD;TSECXDB005;CPU Saturation;CPU Saturation;"1.  Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el servidor afectado(columa C Nombre Componente)
3.Conectar por la opcion plsql (cyberak)
4.Ejecutamos un query para validar que no se esté ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5. Ejecutamos un query para validar que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los  querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si no existe la ejecución de estos querys se debe a la 
nota cerrar como evento controaldo porejecución del proceso batch, si el consumo es mayor a 98% en un tiempo de 30 min, escalar  a bdd.";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;David Medina;;INC0239835;KB0058029;Registrado en ServiceNow;;
TSECXDB006CPU Saturation;PSKB0018;BDD;TSECXDB006;CPU Saturation;CPU Saturation;"1.  Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el servidor afectado(columa C Nombre Componente)
3.Conectar por la opcion plsql (cyberak)
4.Ejecutamos un query para validar que no se esté ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5. Ejecutamos un query para validar que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los  querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si no existe la ejecución de estos querys se debe a la 
nota cerrar como evento controaldo porejecución del proceso batch, si el consumo es mayor a 98% en un tiempo de 30 min, escalar  a bdd.";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;David Medina;;INC0076562;KB0058030;Registrado en ServiceNow;;
ecbpprq131Slow Disk SQL;PSKB0019;BDD;ecbpprq131;Slow Disk SQL;Slow Disk SQL;"1. Ingresar al cyberark.mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor para poder ingresar.(columa C Nombre Componente)
3. Conectar por la opcion rdp  (cyberak)                                                                                                                                                                                        4. Ejecutamos un query para validar que no se esté ejecutando error de I/O en el error log   
SET NOCOUNT ON     
DECLARE @fechaini DATETIME, @fechafin DATETIME;
CREATE TABLE #temperrorlog ([ErrorLogDate] DATETIME, [ProcessInfo] VARCHAR(50),[Text] NVARCHAR(4000)); 
SELECT @fechaini = DATEADD(mi,-120,GETDATE()); 

SELECT @fechafin = GETDATE();
INSERT INTO #temperrorlog (ErrorLogDate, ProcessInfo , TEXT) 
EXEC xp_readerrorlog 0,1,N'',N'',@fechaini,@fechafin;
DELETE FROM #temperrorlog WHERE [ProcessInfo] LIKE '%Logon%'
SELECT *
FROM #temperrorlog 
WHERE [Text] LIKE '%error%' OR [Text] LIKE '%Suspect%' OR [Text] LIKE '%Recovery%'
DROP TABLE #temperrorlog
GO
5 - Identificar procesos de ejecución de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecución con el siguiente query

EXEC sp_who2 active
EXEC sp_who3

 
6. Al tratarse de una arquitectura de Failover Cluster, esta se compone de 2 nodos ECBPPRCL50 y ECBPPRCL51 con 2 instancias: ECBPPRQ75\Q75 y ECBPPRQ29\Q29. Cada nodo aloja una instancia. Las alertas que se presentan en Dynatrace por Slow Disk muestran el nombre del servidor (nodo), más no el de la instancia. Por lo tanto es importante fijarse el disco que está alertado, esto nos ayudará a determinar a qué instancia debemos conectarnos para validar los procesos en ejecución. Ej. R:\Disk_18_Sql_Temp_Q75\ pertenece a la instancia Q75; J:\Disk_6_Sql_Data_Q29\ pertenece a la instancia Q29.""
Nota: la alerta se va a presentar en el transcuros de todo el dia  y noche ya que pasa información de la bdd de  omni online por lo cual no transacciona y es un servidor histórico. alerta controlada ";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0044412;KB0058031;Registrado en ServiceNow;;
ECBPPRQ50Slow Disk SQL;PSKB0020;BDD;ECBPPRQ50;Slow Disk SQL;Slow Disk SQL;"1. Ingresar al cyberark.mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor para poder ingresar..(columa C Nombre Componente)
3. Conectar por la opcion rdp  (cyberak)    
4. Ejecutamos un query para validar que no se esté ejecutando error de I/O en el error log   
SET NOCOUNT ON     
DECLARE @fechaini DATETIME, @fechafin DATETIME;
CREATE TABLE #temperrorlog ([ErrorLogDate] DATETIME, [ProcessInfo] VARCHAR(50),[Text] NVARCHAR(4000)); 
SELECT @fechaini = DATEADD(mi,-120,GETDATE()); 

SELECT @fechafin = GETDATE();
INSERT INTO #temperrorlog (ErrorLogDate, ProcessInfo , TEXT) 
EXEC xp_readerrorlog 0,1,N'',N'',@fechaini,@fechafin;
DELETE FROM #temperrorlog WHERE [ProcessInfo] LIKE '%Logon%'
SELECT *
FROM #temperrorlog 
WHERE [Text] LIKE '%error%' OR [Text] LIKE '%Suspect%' OR [Text] LIKE '%Recovery%'
DROP TABLE #temperrorlog
GO

5 - Identificar procesos de ejecución de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecución con el siguiente query

EXEC sp_who2 active
EXEC sp_who3
nota cerra el evento como controlado ya que la alerta se va a presentar en el transcuros de la noche haciendo referencia a que ejecuta el backup de la bdd de 20:30 a 21:00  ";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0294048;KB0058032;Registrado en ServiceNow;;
ECBPEBSP8CPU Saturation;PSKB0021;BDD;ECBPEBSP8;CPU Saturation;CPU Saturation;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3. Conectar por la opcion plsql                                                                                                                                                                                        4. Ejecutamos un query para validar que no se esté ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5, Ejecutamos un query para validar que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los  querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si no existe la ejecución de estos querys y el evento  persiste más de 15 minutos notificar a BDD.

nota cerrrar el evento como controlado n1 ya que es un sevidor de ebs historico que no transacciona registros  en el caso que la alerta sobrepase los 97% y dure mas de 15 min elevar a bdd  ";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;David Medina;;INC0126897;KB0058034;Registrado en ServiceNow;;
PRECXDB008CPU Saturation;PSKB0022;BDD;PRECXDB008;CPU Saturation;CPU Saturation;"
Nota:este servidor es de restauraciones de bdd  no existe transaccionabilidad asi que cada evento que reporte en este servidor colocar como cerrado como  controlado";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;David Medina;;INC0295578;KB0058035;Registrado en ServiceNow;;
DRECXDB007CPU Saturation;PSKB0023;BDD;DRECXDB007;CPU Saturation;CPU Saturation;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3.conectar por la opcion plsql (cyberak)
4. Validar mediante el siguiente query que no se esté ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5. Valiar mediante el siguiente query que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si la alerta persiste más de 1 hora reportar a bdd. 

Nota:este servidor es de restauraciones de bdd  no existe transaccionabilidad asi que cada evento que reporte en este servidor colocar como cerrado como  controlado,no existe tiempo ya que la resturacion puede tardar horas ";Bitacora;30/01/2025;Henry Mañay;Aprobado;30/05/2025;David Medina;;INC0295578;KB0058035;Registrado en ServiceNow;;
ecbpprq121Evento Productivo - ECBPPRQ121.uio.bpichincha.com: Slow disk;PSKB0024;BDD;ecbpprq121;Slow Disk SQL;Evento Productivo - ECBPPRQ121.uio.bpichincha.com: Slow disk;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3.  Conectar por la opcion rdp (cyberak)
4. Validar que no se presente error de I/O en el error log ejecutando lo siguiente:                                                                                                                                                                               
SET NOCOUNT ON     
DECLARE @fechaini DATETIME, @fechafin DATETIME;
CREATE TABLE #temperrorlog ([ErrorLogDate] DATETIME, [ProcessInfo] VARCHAR(50),[Text] NVARCHAR(4000)); 
SELECT @fechaini = DATEADD(mi,-120,GETDATE()); 

SELECT @fechafin = GETDATE();
INSERT INTO #temperrorlog (ErrorLogDate, ProcessInfo , TEXT) 
EXEC xp_readerrorlog 0,1,N'',N'',@fechaini,@fechafin;
DELETE FROM #temperrorlog WHERE [ProcessInfo] LIKE '%Logon%'
SELECT *
FROM #temperrorlog 
WHERE [Text] LIKE '%error%' OR [Text] LIKE '%Suspect%' OR [Text] LIKE '%Recovery%'
DROP TABLE #temperrorlog
GO

5. En caso que la alerta se presente por más de 15 min reportar a BDD.
6 - Identificar procesos de ejecución de BackUp, shrink (compactaciones), reindexaciones y procesos con mucho tiempo de ejecución con el siguiente query

EXEC sp_who2 active
EXEC sp_who3
NOTA: cerrar el evento como controlado en caso que la alerta dure mas de 15 minutos escalar a bdd ";Bitacora;30/01/2025;Henry Mañay;Aprobado;27/02/2025;Johana Mendoza;;INC0211701;"
KB0057994";Registrado en ServiceNow;;
"DRECXDB003
CPU Saturation AIX DCA";PSKB0025;BDD;"DRECXDB003
";CPU Saturation;CPU Saturation AIX DCA;"1. Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3. conectar por la opcion plsql (cyberak)                                                                                                                                                                                       4. Validar mediante el siguiente query que no se esté ejecutando un respaldo                                                                                                                                                    ""SELECT SID, START_TIME, TOTALWORK, sofar,  (sofar / totalwork) * 100 done, 
    SYSDATE + TIME_REMAINING / 3600 / 24 end_at 
  FROM v$session_longops 
  WHERE     totalwork > sofar AND opname NOT LIKE '%aggregate%'  AND opname LIKE 'RMAN%' 
  order by end_at desc; ""     
5. Valiar mediante el siguiente query que no se este ejecutando estadisticas 
SELECT sess.sid, sess.serial#, sess.username, sess.status, sql.sql_text
FROM gv$session sess
JOIN gv$sql sql ON sess.sql_id = sql.sql_id
WHERE sess.status = 'ACTIVE' AND sql.sql_text LIKE 'ALTER INDEX%                                                                                                                                                                                                                                                     
6. Si los querys retorna sessiones de backup,index o estadisticas corresponde a un evento controlado, caso contrario si la alerta persiste más de 1 hora reportar a bdd. 

Nota: los servidores del Dca no tienen los mismos recuros que el dcp por lo cual permanecen alertados y sincroniza con DCP es un evento controlado si el tiempo dura mas de 1 hora enviar a bdd ";Bitacora;30/01/2025;Henry Mañay;Aprobado;30/05/2025;David Medina;;INC0081751;KB0058117;;;
"DRECXDB002
drecxdb003High network utilización";PSKB0026;BDD;"DRECXDB002
drecxdb003";Networking;High network utilización;"1 Ingresar a cyberark mediante el link https://privilegiados.uio.bpichincha.com/PasswordVault/v10/
2. Buscar el nombre del servidor afectado.(columa C Nombre Componente)
3.conectar por la opcion plsql (cyberak)
4. Identificar los procesos que consumen mayor cantidad de red ejecutando el siguiente query 
/*
Select * FROM GV$SESSION WHERE 0=1;
with ps as
     (select inst_id, sid, serial#, qcsid, qcserial#
      from   GV$px_session
      where  qcserial# is not null)
Select PS.QCSID as parent_session_sid, PS.QCSERIAL# as parent_session_serial, PS.inst_id as parent_session_instid, s.INST_ID, rawtohex(s.SADDR) as SADDR, s.SID, s.SERIAL#, s.AUDSID, rawtohex(s.PADDR) as PADDR, s.USER#, s.USERNAME, s.COMMAND, s.OWNERID, s.TADDR, s.LOCKWAIT, s.STATUS, s.SERVER, s.SCHEMA#, s.SCHEMANAME, TO_SINGLE_BYTE(s.OSUSER) as OSUSER, s.PROCESS, TO_SINGLE_BYTE(s.MACHINE) as MACHINE, s.PORT, s.TERMINAL, UPPER(s.PROGRAM) PROGRAM, s.TYPE, s.SQL_ADDRESS, s.SQL_HASH_VALUE, s.SQL_ID, s.SQL_CHILD_NUMBER, s.SQL_EXEC_START, s.SQL_EXEC_ID, s.PREV_SQL_ADDR, s.PREV_HASH_VALUE, s.PREV_SQL_ID, s.PREV_CHILD_NUMBER, s.PREV_EXEC_START, s.PREV_EXEC_ID, s.PLSQL_ENTRY_OBJECT_ID, s.PLSQL_ENTRY_SUBPROGRAM_ID, s.PLSQL_OBJECT_ID, s.PLSQL_SUBPROGRAM_ID, s.MODULE, s.MODULE_HASH, substr(TO_SINGLE_BYTE(s.ACTION), 1, 64) as ACTION, s.ACTION_HASH, s.CLIENT_INFO, s.FIXED_TABLE_SEQUENCE, s.ROW_WAIT_OBJ#, s.ROW_WAIT_FILE#, s.ROW_WAIT_BLOCK#, s.ROW_WAIT_ROW#, s.TOP_LEVEL_CALL#, s.LOGON_TIME, s.LAST_CALL_ET, s.PDML_ENABLED, s.FAILOVER_TYPE, s.FAILOVER_METHOD, s.FAILED_OVER, s.RESOURCE_CONSUMER_GROUP, s.PDML_STATUS, s.PDDL_STATUS, s.PQ_STATUS, s.CURRENT_QUEUE_DURATION, s.CLIENT_IDENTIFIER, s.BLOCKING_SESSION_STATUS, s.BLOCKING_INSTANCE, s.BLOCKING_SESSION, s.FINAL_BLOCKING_SESSION_STATUS, s.FINAL_BLOCKING_INSTANCE, s.FINAL_BLOCKING_SESSION, s.SEQ#, s.EVENT#, s.EVENT, s.P1TEXT, s.P1, s.P1RAW, s.P2TEXT, s.P2, s.P2RAW, s.P3TEXT, s.P3, s.P3RAW, s.WAIT_CLASS_ID, s.WAIT_CLASS#, s.WAIT_CLASS, s.WAIT_TIME, s.SECONDS_IN_WAIT, s.STATE, s.WAIT_TIME_MICRO, s.TIME_REMAINING_MICRO, s.TIME_SINCE_LAST_WAIT_MICRO, s.SERVICE_NAME, s.SQL_TRACE, s.SQL_TRACE_WAITS, s.SQL_TRACE_BINDS, s.SQL_TRACE_PLAN_STATS, s.SESSION_EDITION_ID, s.CREATOR_ADDR, s.CREATOR_SERIAL#, s.ECID, s.SQL_TRANSLATION_PROFILE_ID, s.PGA_TUNABLE_MEM, s.SHARD_DDL_STATUS, s.CON_ID, s.EXTERNAL_NAME, s.PLSQL_DEBUGGER_CONNECTED, stat.cpu  - stat.CPU_this_call_start cpu_this_call, stat.CPU, stat.UGA_memory, stat.PGA_memory, stat.Commits, stat.Rollbacks, p.program  ""OSProgram"", p.spid, p.pid
FROM GV$SESSION S, PS, GV$PROCESS p, 
     (select ss.inst_id stat_inst_id, ss.sid stat_sid,
             sum(decode(sn.name, 'CPU used when call started', ss.value, 0)) CPU_this_call_start,
             sum(decode(sn.name, 'CPU used by this session', ss.value, 0)) CPU,
             sum(decode(sn.name, 'session uga memory', ss.value, 0)) uga_memory,
             sum(decode(sn.name, 'session pga memory', ss.value, 0)) pga_memory,
             sum(decode(sn.name, 'user commits', ss.value, 0)) commits,
             sum(decode(sn.name, 'user rollbacks', ss.value, 0)) rollbacks
      from   GV$sesstat ss, GV$statname sn
      where  ss.STATISTIC# = sn.STATISTIC#
      and    ss.inst_id = sn.inst_id
      and    (sn.name = 'CPU used when call started' or
              sn.name = 'CPU used by this session' or
              sn.name = 'session uga memory' or
              sn.name = 'session pga memory' or
              sn.name = 'user commits' or
              sn.name = 'user rollbacks')
      group by ss.inst_id, ss.sid) stat
 WHERE 
(
s.STATUS = 'ACTIVE'
) AND  ( (s.USERNAME is not null) and (NVL(s.osuser,'x') <> 'SYSTEM') and (s.type <> 'BACKGROUND') ) 
and  p.addr(+) = s.paddr AND p.inst_id(+) = s.inst_id 
and  stat.stat_inst_id = s.inst_id and stat.stat_sid = s.sid 
and  PS.SID (+) = S.SID AND PS.SERIAL# (+) = S.SERIAL# and PS.INST_ID (+) = S.INST_ID 
order by MODULE, OWNERID; */
3. al ejecutar el script se verificara que se tiene sessiones ingresando a la base de datos 

Nota omitir la alerta ya que en el DCA los recursos son mínimos y dca con dcp hay intermintencias asi que es alerta contrada, si la alerta persiste más de 1 hora reportar a BDD. ";Bitacora;30/01/2025;Henry Mañay;Aprobado;30/05/2025;David Medina;;INC0036385;KB0058118;;;
